acc_x,acc_y,acc_z,gyrx,gyry,gyrz
-0.1970516082983464,-0.18639782007597386,-0.005114566534757614,0.0786965936422348,0.010570626705884933,0.27022406458854675
-0.23814618229074402,-0.24229743848498908,0.3729629595428705,-0.013508431613445282,0.049326010048389435,0.15527909994125366
-0.4907470063915476,-0.09433501966213807,0.5765384897172451,-0.06488414108753204,-0.062237150967121124,0.10642685741186142
-0.32574082431457935,-0.3303812705315649,0.10225509033799171,-0.003356596454977989,-0.09162592887878418,0.19249382615089417
-0.22817113358015192,-1.0892509884729982,-0.5036404267668724,0.02211694046854973,-0.05901753902435303,0.13909922540187836
-0.6216635796010493,-0.643343569554761,-0.09035071753263473,-0.007814859040081501,0.003195235040038824,-0.010215424932539463
-0.7616075454074889,0.08929059575414285,0.18979601114690303,-0.029132265597581863,0.005027838982641697,-0.08952981233596802
-0.5079814516458661,0.336252902511321,0.06592997750341892,-0.01766948774456978,0.03239288553595543,-0.09779972583055496
-0.10596584535627625,0.15051439572745,-0.12591127573549746,0.02555587887763977,0.0682823583483696,-0.10925645381212234
0.026043685605528298,0.02405743227531202,-0.3121381962239742,0.06772303581237793,0.10544916987419128,-0.15426360070705414
0.016155068502796348,0.30869503350015726,-0.3326479002892971,0.11035265773534775,0.11599846929311752,-0.21688883006572723
-0.16599369527697563,0.8825272964660078,-0.33035189830660816,0.15050406754016876,0.10869768261909485,-0.25773346424102783
0.020804855653573758,0.4784201338578015,-0.302095525637269,0.16475984454154968,0.11048843711614609,-0.23943519592285156
0.04876607673466205,-0.04072871808838099,-0.07259586513340473,0.13647787272930145,0.0798192024230957,-0.253381609916687
-0.16729681376479566,-0.04454823984391987,0.23496494017243383,0.04780711978673935,0.06376568228006363,-0.2864990234375
-0.32831845625024286,-0.2007592306446284,0.6459107166290283,-0.11262543499469757,0.01318265963345766,-0.3694210648536682
-0.43368345876969394,-0.21814534106301142,1.2243658536225557,-0.3178483545780182,-0.0416395477950573,-0.4136822521686554
-0.14679178587459027,-0.2718026421716437,1.351336867544055,-0.47475382685661316,0.01387857086956501,-0.42234790325164795
0.07205689028534107,-0.10176579071739687,0.4548094681024551,-0.41655468940734863,0.3034180998802185,-0.41617658734321594
-0.2156639543097466,-0.051571393646090286,-1.0251520257890223,-0.24569080770015717,0.5256956219673157,-0.4713367819786072
-0.23123530692374333,-0.5084276245107874,-1.2869482742637395,-0.11098185926675797,0.6292321681976318,-0.5088433623313904
0.1292950729548931,-0.7043566219873726,-0.7396686122566462,-0.06424897909164429,0.5900893211364746,-0.47235703468322754
